x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16,label
0.4203125,0.3527777777777778,0.43203125,0.3333333333333333,0.409375,0.3333333333333333,0.44921875,0.33055555555555555,0.3953125,0.33055555555555555,0.4796875,0.4236111111111111,0.3734375,0.43194444444444446,0.49765625,0.5472222222222223,0.36640625,0.5597222222222222,0.5,0.6597222222222222,0.3828125,0.6166666666666667,0.46015625,0.6513888888888889,0.3984375,0.6555555555555556,0.46171875,0.7777777777777778,0.4015625,0.7888888888888889,0.46328125,0.8833333333333333,0.40546875,0.8916666666666667,Front
0.39375,0.3611111111111111,0.40234375,0.3472222222222222,0.39453125,0.3416666666666667,0.43828125,0.35138888888888886,0.40625,0.3388888888888889,0.49296875,0.44722222222222224,0.384375,0.4222222222222222,0.509375,0.5708333333333333,0.31875,0.48055555555555557,0.49375,0.6861111111111111,0.253125,0.4486111111111111,0.4609375,0.6666666666666666,0.39765625,0.6541666666666667,0.46328125,0.7819444444444444,0.4078125,0.7902777777777777,0.4640625,0.8888888888888888,0.409375,0.9013888888888889,Right
0.46875,0.3763888888888889,0.47109375,0.35555555555555557,0.45859375,0.3611111111111111,0.46796875,0.3458333333333333,0.421875,0.35555555555555557,0.48046875,0.4111111111111111,0.37890625,0.4222222222222222,0.50078125,0.5430555555555555,0.42265625,0.5458333333333333,0.496875,0.6513888888888889,0.4953125,0.48055555555555557,0.46484375,0.6319444444444444,0.39765625,0.6402777777777777,0.4578125,0.7736111111111111,0.4046875,0.7791666666666667,0.4625,0.8875,0.40625,0.9,Left
0.42734375,0.3541666666666667,0.43828125,0.3347222222222222,0.4171875,0.3347222222222222,0.45625,0.32916666666666666,0.4046875,0.33055555555555555,0.4890625,0.42777777777777776,0.38203125,0.4166666666666667,0.50390625,0.5555555555555556,0.36953125,0.5305555555555556,0.496875,0.6722222222222223,0.37890625,0.5777777777777777,0.46328125,0.6569444444444444,0.40078125,0.6541666666666667,0.4640625,0.7722222222222223,0.4046875,0.7819444444444444,0.4640625,0.8819444444444444,0.40703125,0.8972222222222223,Front
0.38203125,0.375,0.3890625,0.3597222222222222,0.3828125,0.35694444444444445,0.42421875,0.3597222222222222,0.3953125,0.35555555555555557,0.48359375,0.44583333333333336,0.37890625,0.43194444444444446,0.50234375,0.575,0.31484375,0.48194444444444445,0.48828125,0.6944444444444444,0.2609375,0.4388888888888889,0.45859375,0.6652777777777777,0.396875,0.6569444444444444,0.46015625,0.7805555555555556,0.40625,0.7930555555555555,0.4625,0.8902777777777777,0.40859375,0.9013888888888889,Right
0.4640625,0.3875,0.46484375,0.36666666666666664,0.45390625,0.3736111111111111,0.45859375,0.3541666666666667,0.41796875,0.36944444444444446,0.47265625,0.4222222222222222,0.36875,0.43333333333333335,0.49140625,0.5513888888888889,0.38984375,0.5694444444444444,0.4875,0.6680555555555555,0.45703125,0.49583333333333335,0.46171875,0.6361111111111111,0.39453125,0.6472222222222223,0.46328125,0.7694444444444445,0.40390625,0.7847222222222222,0.46328125,0.8847222222222222,0.40703125,0.9,Left
0.43828125,0.38055555555555554,0.44921875,0.3597222222222222,0.42734375,0.35833333333333334,0.459375,0.3472222222222222,0.4046875,0.34444444444444444,0.48203125,0.4236111111111111,0.3734375,0.4263888888888889,0.49921875,0.5527777777777778,0.3703125,0.5694444444444444,0.490625,0.6736111111111112,0.4375,0.5319444444444444,0.46484375,0.65,0.40078125,0.6541666666666667,0.46328125,0.775,0.4046875,0.7875,0.4640625,0.8833333333333333,0.40625,0.8986111111111111,Left
0.42109375,0.37083333333333335,0.4328125,0.3527777777777778,0.4125,0.35138888888888886,0.45546875,0.3402777777777778,0.40234375,0.3375,0.48984375,0.4305555555555556,0.38515625,0.41805555555555557,0.50625,0.5611111111111111,0.365625,0.5291666666666667,0.49453125,0.6791666666666667,0.37578125,0.5888888888888889,0.4625,0.6638888888888889,0.40234375,0.6597222222222222,0.46328125,0.7805555555555556,0.40390625,0.7902777777777777,0.4640625,0.8861111111111111,0.40703125,0.8986111111111111,Front
0.40078125,0.3763888888888889,0.4078125,0.3611111111111111,0.40078125,0.35833333333333334,0.44140625,0.35833333333333334,0.4125,0.3527777777777778,0.5046875,0.44027777777777777,0.4,0.425,0.525,0.5694444444444444,0.34375,0.4930555555555556,0.51171875,0.6861111111111111,0.28828125,0.4583333333333333,0.48125,0.6680555555555555,0.41953125,0.6569444444444444,0.47265625,0.7833333333333333,0.41328125,0.8,0.4640625,0.8861111111111111,0.409375,0.9125,Right
0.45546875,0.38472222222222224,0.465625,0.3625,0.44453125,0.36527777777777776,0.47578125,0.34305555555555556,0.421875,0.3472222222222222,0.50078125,0.42083333333333334,0.39296875,0.4236111111111111,0.51796875,0.55,0.390625,0.5611111111111111,0.50703125,0.675,0.4421875,0.5097222222222222,0.475,0.65,0.41015625,0.6541666666666667,0.46953125,0.7777777777777778,0.41328125,0.7944444444444444,0.46484375,0.8791666666666667,0.4078125,0.9069444444444444,Left
0.39765625,0.35138888888888886,0.40859375,0.33611111111111114,0.39609375,0.33055555555555555,0.4453125,0.34305555555555556,0.40234375,0.32916666666666666,0.4875,0.44166666666666665,0.38125,0.4222222222222222,0.50546875,0.5694444444444444,0.33203125,0.5222222222222223,0.4921875,0.6888888888888889,0.29140625,0.5541666666666667,0.4625,0.6597222222222222,0.4015625,0.6527777777777778,0.4625,0.7777777777777778,0.40703125,0.7888888888888889,0.46328125,0.8875,0.40625,0.9055555555555556,Front
0.41484375,0.375,0.4265625,0.3541666666666667,0.4046875,0.3541666666666667,0.44921875,0.34305555555555556,0.39453125,0.34305555555555556,0.48515625,0.4305555555555556,0.38046875,0.4152777777777778,0.50390625,0.5652777777777778,0.35625,0.5277777777777778,0.4875,0.6791666666666667,0.35859375,0.5291666666666667,0.46015625,0.6527777777777778,0.39921875,0.6472222222222223,0.4625,0.7777777777777778,0.4046875,0.7861111111111111,0.4640625,0.8861111111111111,0.40546875,0.9041666666666667,Right
0.4671875,0.3875,0.46875,0.36527777777777776,0.45625,0.37222222222222223,0.46484375,0.3541666666666667,0.42109375,0.36527777777777776,0.4765625,0.41805555555555557,0.3734375,0.4236111111111111,0.49609375,0.5486111111111112,0.3953125,0.5638888888888889,0.48828125,0.6652777777777777,0.45859375,0.48333333333333334,0.46171875,0.6263888888888889,0.3953125,0.6347222222222222,0.46328125,0.7666666666666667,0.40625,0.7833333333333333,0.4640625,0.8847222222222222,0.4046875,0.9069444444444444,Left
